series_id,name,units,f,date,amount
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201707,5.4
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201706,5.83
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201705,4.99
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201704,5.17
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201703,5.44
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201702,5.28
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201701,4.93
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201612,5.61
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201611,5.18
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201610,5.23
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201609,5.55
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201608,5.08
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201607,5.49
