series_id,name,units,f,date,amount
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201708,5362
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201707,5444
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201706,5367
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201705,4196
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201704,5416
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201703,5781
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201702,5510
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201701,6374
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201612,4763
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201611,6549
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201610,6396
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201609,5787
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201608,5347
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201607,5577
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201606,5703
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201605,4971
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201604,6024
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201603,5911
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201602,5210
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201601,5837
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201512,6151
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201511,5864
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201510,6376
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201509,6112
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201508,6241
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201507,6194
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201506,6252
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201505,6270
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201504,6578
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201503,7081
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201502,5926
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201501,6210
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201412,6552
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201411,6684
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201410,5802
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201409,6055
