series_id,name,units,f,date,amount
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1969,573.017
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1968,573.681
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1967,552.321
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1966,528.904
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1965,534.45
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1964,509.192
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1963,523.207
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1962,525.939
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1961,504.34
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1960,493.587
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1959,422.342
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1958,423.594
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1957,394.859
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1956,397.615
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1955,377.029
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1954,341.392
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1953,306.482
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1952,304.024
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1951,292.689
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1950,261.805
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,1949,221.006
